tournament_id,team_id,team_name,year,top5_league_count,connectivity,population,gdp_usd,gdp_per_capita,fifa_rank
WC-2010,T-49,New Zealand,2010,1,0,4302600,121373602349,28209.36,78
WC-2010,T-50,Nigeria,2010,10,1,162049464,295008835381,1820.49,21
WC-2010,T-51,North Korea,2010,0,0,24878332,,,105
WC-2010,T-55,Paraguay,2010,7,1,5671236,22355151162,3941.85,31
WC-2010,T-58,Portugal,2010,11,4,10568247,244667762836,23151.22,3
WC-2010,T-66,Serbia,2010,12,1,7320807,45162894381,6169.11,15
WC-2010,T-68,Slovakia,2010,8,0,5386406,89399303222,16597.21,34
WC-2010,T-69,Slovenia,2010,7,1,2039669,50567734886,24792.13,25
WC-2010,T-70,South Africa,2010,2,0,51728516,329754060647,6374.71,83
WC-2010,T-71,South Korea,2010,3,0,49307835,943941876219,19143.85,47
WC-2010,T-73,Spain,2010,21,35,46362946,1491472923707,32169.5,2
WC-2010,T-75,Switzerland,2010,14,1,7743831,554212916092,71568.31,24
WC-2010,T-83,United States,2010,10,1,306771529,14478067000000,47194.95,14
WC-2010,T-84,Uruguay,2010,7,0,3310091,32708319078,9881.4,16
WC-2014,T-01,Algeria,2014,8,0,38414171,229701430292,5979.6,22
WC-2014,T-03,Argentina,2014,13,6,42582455,552025140252,12963.68,5
WC-2014,T-04,Australia,2014,2,0,23128129,1577301840200,68198.42,62
WC-2014,T-06,Belgium,2014,16,11,11159407,521791015247,46757.95,11
WC-2014,T-08,Bosnia and Herzegovina,2014,10,0,3610859,18179108531,5034.57,21
WC-2014,T-09,Brazil,2014,16,8,198478299,2472819535743,12458.89,3
WC-2014,T-11,Cameroon,2014,7,0,21402376,33728621190,1575.93,56
WC-2014,T-13,Chile,2014,10,1,17687006,277395018837,15683.55,14
WC-2014,T-16,Colombia,2014,12,0,46151584,382093697078,8279.1,8
WC-2014,T-17,Costa Rica,2014,3,0,4716147,50949668841,10803.24,28
WC-2014,T-18,Croatia,2014,12,0,4233922,59589170668,14074.22,18
WC-2014,T-25,Ecuador,2014,2,0,15807128,96570334000,6109.29,26
WC-2014,T-28,England,2014,22,25,54069177,2394974012179,44294.63,10
WC-2014,T-30,France,2014,22,16,65997932,2811876903329,42605.53,17
WC-2014,T-31,Germany,2014,23,32,80645605,3733804649549,46298.92,2
WC-2014,T-32,Ghana,2014,10,3,27386193,62824629066,2294.03,37
WC-2014,T-33,Greece,2014,7,0,10965211,238907690051,21787.79,12
WC-2014,T-35,Honduras,2014,2,0,8889278,18499729215,2081.13,33
WC-2014,T-38,Iran,2014,1,0,80414686,492775566426,6127.93,43
WC-2014,T-41,Italy,2014,22,25,60311613,2141924094299,35514.29,9
WC-2014,T-42,Ivory Coast,2014,12,2,23939775,42760235485,1786.16,23
WC-2014,T-44,Japan,2014,10,1,127445000,5212328181166,40898.65,46
WC-2014,T-46,Mexico,2014,5,1,118343573,1327436290283,11216.8,20
WC-2014,T-48,Netherlands,2014,8,1,16804432,877172824535,52198.9,15
WC-2014,T-50,Nigeria,2014,6,0,181049443,520117180314,2872.79,44
WC-2014,T-58,Portugal,2014,9,6,10457295,226433858006,21653.2,4
WC-2014,T-62,Russia,2014,0,0,143805638,2292470078346,15941.45,19
WC-2014,T-71,South Korea,2014,7,2,50428893,1370632955321,27179.52,57
WC-2014,T-73,Spain,2014,21,31,46604197,1355579535913,29087.07,1
WC-2014,T-75,Switzerland,2014,15,5,8089346,706234937371,87304.33,6
WC-2014,T-83,United States,2014,10,0,316726282,16880683000000,53297.39,13
WC-2014,T-84,Uruguay,2014,11,1,3345337,61337621934,18335.26,7
WC-2018,T-03,Argentina,2018,13,5,44288894,643628393281,14532.5,5
WC-2018,T-04,Australia,2018,3,0,24592588,1326882104817,53954.55,36
WC-2018,T-06,Belgium,2018,20,8,11375158,502764720556,44198.48,3
WC-2018,T-09,Brazil,2018,17,12,204703445,2063514977334,10080.51,2
WC-2018,T-16,Colombia,2018,12,0,48131078,311866875157,6479.53,16
WC-2018,T-17,Costa Rica,2018,5,0,4913177,60516044657,12317.09,23
WC-2018,T-18,Croatia,2018,15,3,4041407,56322449844,13936.35,20
WC-2018,T-22,Denmark,2018,14,1,5764980,332121063806,57610.1,12
WC-2018,T-26,Egypt,2018,3,0,103696057,248362771739,2395.1,45
WC-2018,T-28,England,2018,23,24,55609338,2304927325008,41448.57,12
WC-2018,T-30,France,2018,22,14,66918020,2595151045198,38781.05,7
WC-2018,T-31,Germany,2018,23,22,82657002,3690849152518,44652.59,1
WC-2018,T-37,Iceland,2018,4,0,343400,24728285177,72010.15,22
WC-2018,T-38,Iran,2018,0,0,85026754,486630147094,5723.26,37
WC-2018,T-44,Japan,2018,12,0,126972000,4930837369151,38834.05,61
WC-2018,T-46,Mexico,2018,6,2,123400057,1190721475906,9649.28,15
WC-2018,T-47,Morocco,2018,6,0,35446392,118540573368,3344.22,41
WC-2018,T-50,Nigeria,2018,9,1,200254579,375745731053,1876.34,48
WC-2018,T-54,Panama,2018,0,0,4098707,62202700000,15176.18,55
WC-2018,T-56,Peru,2018,1,0,31324637,211007984081,6736.17,11
WC-2018,T-57,Poland,2018,13,4,37974826,524641252835,13815.5,8
WC-2018,T-58,Portugal,2018,11,1,10300300,221357874719,21490.43,4
WC-2018,T-62,Russia,2018,1,0,145293260,1574199360089,10834.63,70
WC-2018,T-63,Saudi Arabia,2018,0,0,30977355,714994666667,23081.2,67
WC-2018,T-65,Senegal,2018,13,1,15475002,20996562944,1356.81,27
WC-2018,T-66,Serbia,2018,12,0,7020858,44179075779,6292.55,34
