World Cup,Country,Player,Position,Club,Club Association,Top-5 League,Counted?
2002,Belgium,Franky Vandendriessche,GK,Mouscron,Belgium,,FALSE
2002,Belgium,Sven Vermant,MF,Schalke 04,Germany,Bundesliga,TRUE
2002,Belgium,Jacky Peeters,DF,Gent,Belgium,,FALSE
2002,Belgium,Daniel Van Buyten,DF,Marseille,France,Ligue 1,TRUE
2002,Belgium,Gaëtan Englebert,MF,Club Brugge,Belgium,,FALSE
2002,Belgium,Yves Vanderhaeghe,MF,Anderlecht,Belgium,,FALSE
2002,Belgium,Bernd Thijs,MF,Genk,Belgium,,FALSE
2002,Belgium,Branko Strupar,FW,Derby County,England,Premier League,TRUE
2002,Belgium,Danny Boffin,MF,Sint-Truiden,Belgium,,FALSE
2002,Belgium,Mbo Mpenza,FW,Mouscron,Belgium,,FALSE
2002,Belgium,Frédéric Herpoel,GK,Gent,Belgium,,FALSE
2002,Japan,Yoshikatsu Kawaguchi,GK,Portsmouth,England,,FALSE
2002,Japan,Yutaka Akita,DF,Kashima Antlers,Japan,,FALSE
2002,Japan,Naoki Matsuda,DF,Yokohama F. Marinos,Japan,,FALSE
2002,Japan,Ryuzo Morioka,DF,Shimizu S-Pulse,Japan,,FALSE
2002,Japan,Junichi Inamoto,MF,Arsenal,England,Premier League,TRUE
2002,Japan,Toshihiro Hattori,DF,Júbilo Iwata,Japan,,FALSE
2002,Japan,Hidetoshi Nakata,MF,Parma,Italy,Serie A,TRUE
2002,Japan,Hiroaki Morishima,MF,Cerezo Osaka,Japan,,FALSE
2002,Japan,Akinori Nishizawa,FW,Cerezo Osaka,Japan,,FALSE
2002,Japan,Masashi Nakayama,FW,Júbilo Iwata,Japan,,FALSE
2002,Japan,Takayuki Suzuki,FW,Kashima Antlers,Japan,,FALSE
2002,Japan,Seigo Narazaki,GK,Nagoya Grampus Eight,Japan,,FALSE
2002,Japan,Atsushi Yanagisawa,FW,Kashima Antlers,Japan,,FALSE
2002,Japan,Alessandro Santos,MF,Shimizu S-Pulse,Japan,,FALSE
2002,Japan,Takashi Fukunishi,MF,Júbilo Iwata,Japan,,FALSE
2002,Japan,Kōji Nakata,DF,Kashima Antlers,Japan,,FALSE
2002,Japan,Tsuneyasu Miyamoto (c),DF,Gamba Osaka,Japan,,FALSE
2002,Japan,Shinji Ono,MF,Feyenoord,Netherlands,,FALSE
2002,Japan,Mitsuo Ogasawara,MF,Kashima Antlers,Japan,,FALSE
2002,Japan,Tomokazu Myojin,MF,Kashiwa Reysol,Japan,,FALSE
2002,Japan,Kazuyuki Toda,MF,Shimizu S-Pulse,Japan,,FALSE
2002,Japan,Daisuke Ichikawa,MF,Shimizu S-Pulse,Japan,,FALSE
2002,Japan,Hitoshi Sogahata,GK,Kashima Antlers,Japan,,FALSE
2002,Russia,Ruslan Nigmatullin,GK,Hellas Verona,Italy,Serie A,TRUE
2002,Russia,Yuri Kovtun,DF,Spartak Moscow,Russia,,FALSE
2002,Russia,Yuriy Nikiforov,DF,PSV Eindhoven,Netherlands,,FALSE
2002,Russia,Alexey Smertin,MF,Bordeaux,France,Ligue 1,TRUE
2002,Russia,Andrei Solomatin,DF,CSKA Moscow,Russia,,FALSE
2002,Russia,Igor Semshov,MF,Torpedo Moscow,Russia,,FALSE
2002,Russia,Viktor Onopko (c),DF,Oviedo,Spain,,FALSE
2002,Russia,Valery Karpin,MF,Celta Vigo,Spain,La Liga,TRUE
2002,Russia,Yegor Titov,MF,Spartak Moscow,Russia,,FALSE
2002,Russia,Aleksandr Mostovoi,MF,Celta Vigo,Spain,La Liga,TRUE
2002,Russia,Vladimir Beschastnykh,FW,Spartak Moscow,Russia,,FALSE
2002,Russia,Stanislav Cherchesov,GK,Tirol Innsbruck,Austria,,FALSE
2002,Russia,Vyacheslav Dayev,DF,CSKA Moscow,Russia,,FALSE
2002,Russia,Igor Chugainov,DF,Uralan Elista,Russia,,FALSE
2002,Russia,Dmitri Alenichev,MF,Porto,Portugal,,FALSE
2002,Russia,Aleksandr Kerzhakov,FW,Zenit Saint Petersburg,Russia,,FALSE
2002,Russia,Sergei Semak,MF,CSKA Moscow,Russia,,FALSE
2002,Russia,Dmitri Sennikov,DF,Lokomotiv Moscow,Russia,,FALSE
2002,Russia,Ruslan Pimenov,FW,Lokomotiv Moscow,Russia,,FALSE
2002,Russia,Marat Izmailov,MF,Lokomotiv Moscow,Russia,,FALSE
2002,Russia,Dmitri Khokhlov,MF,Real Sociedad,Spain,La Liga,TRUE
2002,Russia,Dmitri Sychev,FW,Spartak Moscow,Russia,,FALSE
2002,Russia,Aleksandr Filimonov,GK,Uralan Elista,Russia,,FALSE
2002,Tunisia,Ali Boumnijel,GK,Bastia,France,Ligue 1,TRUE
2002,Tunisia,Khaled Badra (c),DF,Espérance de Tunis,Tunisia,,FALSE
2002,Tunisia,Zoubeir Baya,MF,Beşiktaş,Turkey,,FALSE
2002,Tunisia,Mohamed Mkacher,DF,Étoile du Sahel,Tunisia,,FALSE
2002,Tunisia,Ziad Jaziri,FW,Étoile du Sahel,Tunisia,,FALSE
2002,Tunisia,Hatem Trabelsi,DF,Ajax,Netherlands,,FALSE
2002,Tunisia,Imed Mhedhebi,FW,Genoa,Italy,,FALSE
2002,Tunisia,Hassen Gabsi,MF,Genoa,Italy,,FALSE
2002,Tunisia,Riadh Jelassi,FW,Club Africain,Tunisia,,FALSE
2002,Tunisia,Kaies Ghodhbane,MF,Étoile du Sahel,Tunisia,,FALSE
2002,Tunisia,Adel Sellimi,FW,SC Freiburg,Germany,Bundesliga,TRUE
2002,Tunisia,Raouf Bouzaiene,DF,Genoa,Italy,,FALSE
2002,Tunisia,Riadh Bouazizi,MF,Bursaspor,Turkey,,FALSE
2002,Tunisia,Hamdi Marzouki,DF,Club Africain,Tunisia,,FALSE
2002,Tunisia,Radhi Jaïdi,DF,Espérance de Tunis,Tunisia,,FALSE
2002,Tunisia,Hassen Bejaoui,GK,Bizertin,Tunisia,,FALSE
2002,Tunisia,Tarek Thabet,DF,Espérance de Tunis,Tunisia,,FALSE
2002,Tunisia,Selim Benachour,MF,Martigues,France,,FALSE
2002,Tunisia,Emir Mkademi,DF,Étoile du Sahel,Tunisia,,FALSE
2002,Tunisia,Ali Zitouni,FW,Espérance de Tunis,Tunisia,,FALSE
2002,Tunisia,Mourad Melki,MF,Espérance de Tunis,Tunisia,,FALSE
2002,Tunisia,Ahmed El-Jaouachi,GK,Monastir,Tunisia,,FALSE
2002,Tunisia,José Clayton,DF,Espérance de Tunis,Tunisia,,FALSE
